id,title,description,release_year,runtime,genres,production_countries,my_rating,description_join
tm84618,Taxi Driver,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,1976,114,"['drama', 'crime']",['US'],8.198980111058606,mentally unstable vietnam war veteran work nighttime taxi driver new york city perceived decadence sleaze feed urge violent action
tm154986,Deliverance,"Intent on seeing the Cahulawassee River before it's turned into one huge lake, outdoor fanatic Lewis Medlock takes his friends on a river-rafting trip they'll never forget into the dangerous American back-country.",1972,109,"['drama', 'action', 'thriller', 'european']",['US'],7.66587078955969,intent seeing cahulawassee river turned one huge lake outdoor fanatic lewis medlock take friend riverrafting trip never forget dangerous american backcountry
tm127384,Monty Python and the Holy Grail,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".",1975,91,"['fantasy', 'action', 'comedy']",['GB'],8.189007331408176,king arthur accompanied squire recruit knight round table including sir bedevere wise sir lancelot brave sir robin notquitesobraveassirlancelot sir galahad pure way arthur battle black knight despite limb chopped insists still fight reach camelot arthur decides enter silly place
tm120801,The Dirty Dozen,"12 American military prisoners in World War II are ordered to infiltrate a well-guarded enemy château and kill the Nazi officers vacationing there. The soldiers, most of whom are facing death sentences for a variety of violent crimes, agree to the mission and the possible commuting of their sentences.",1967,150,"['war', 'action']","['GB', 'US']",7.6779740937885,american military prisoner world war ordered infiltrate wellguarded enemy château kill nazi officer vacationing soldier facing death sentence variety violent crime agree mission possible commuting sentence
tm70993,Life of Brian,"Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.",1979,94,['comedy'],['GB'],7.991342733829118,brian cohen average young jewish man series ridiculous event gain reputation messiah dodging follower scolded shrill mother hapless brian contend pompous pontius pilate acronymobsessed member separatist movement rife monty python signature absurdity tale find brian life paralleling biblical lore albeit many laugh
tm14873,Dirty Harry,"When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.",1971,102,"['thriller', 'action', 'crime']",['US'],7.684664877993875,madman dubbed scorpio terrorizes san francisco hardnosed cop harry callahan famous takenoprisoners approach law enforcement tasked hunting psychopath harry eventually collar scorpio process rescuing kidnap victim see walk technicality maverick detective determined nail maniac
tm119281,Bonnie and Clyde,"In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",1967,110,"['crime', 'drama', 'action']",['US'],7.675321920257539,1930s bored waitress bonnie parker fall love excon named clyde barrow together start violent crime spree country stealing car robbing bank
tm98978,The Blue Lagoon,"Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?",1980,104,"['romance', 'action', 'drama']",['US'],5.949765268244002,two small child ship cook survive shipwreck find safety idyllic tropical island soon however cook dy young boy girl left day become year emmeline richard make home surrounded exotic creature nature beauty ever see civilization
tm44204,The Guns of Navarone,"A team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.",1961,158,"['action', 'drama', 'war']","['GB', 'US']",7.456966350233319,team allied saboteur assigned impossible mission infiltrate impregnable naziheld island destroy two enormous longrange field gun prevent rescue 2000 trapped british soldier
tm67378,The Professionals,An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.,1966,117,"['western', 'action', 'european']",['US'],7.210993323701904,arrogant texas millionaire hire four adventurer rescue kidnapped wife notorious mexican bandit
tm69997,Richard Pryor: Live in Concert,"Richard Pryor delivers monologues on race, sex, family and his favorite target—himself, live at the Terrace Theatre in Long Beach, California.",1979,78,"['comedy', 'documentation']",['US'],7.813157810821091,richard pryor delivers monologue race sex family favorite target—himself live terrace theatre long beach california
